:START_ID(Lexicon-ID) lang :END_ID(Node-ID)
1093 fr 5641
1094 fr 5647
1095 fr 5658
1096 fr 5659
1097 fr 5661
1098 fr 5664
1099 fr 5670
1100 fr 5673
1101 fr 5676
1102 fr 5684
1103 fr 5691
1104 fr 5693
1105 fr 5697
1106 fr 5699
1107 fr 5707
1108 fr 5708
1109 fr 5710
1110 fr 5711
1111 fr 5713
1112 fr 5716
1113 fr 5721
1114 fr 5724
1115 fr 5725
1116 fr 5747
1117 fr 5749
1118 fr 5755
1119 fr 5761
1120 fr 5774
1121 fr 5779
1122 fr 5781
1123 fr 5786
1124 fr 5788
1125 fr 5794
1126 fr 5798
1127 fr 5804
1128 fr 5811
1129 fr 5813
1130 fr 5816
1131 fr 5820
1132 fr 5823
1133 fr 5826
1134 fr 5833
1135 fr 5836
1136 fr 5845
1137 fr 5848
1138 fr 5849
1139 fr 5854
1140 fr 5857
1141 fr 5860
1142 fr 5867
1143 fr 5869
1144 fr 5870
1145 fr 5871
1146 fr 5873
1147 fr 5875
1148 fr 5884
1149 fr 5893
1150 fr 5897
1151 fr 5898
1152 fr 5902
1153 fr 5906
1154 fr 5908
1155 fr 5916
1156 fr 5921
1157 fr 5922
1158 fr 5934
1159 fr 5936
1160 fr 5937
1161 fr 5940
1162 fr 5947
1163 fr 5948
1164 fr 5951
1165 fr 5958
1166 fr 5959
1167 fr 5960
1168 fr 5965
1169 fr 5973
1170 fr 5976
1171 fr 5982
1172 fr 5986
1173 fr 5994
1174 fr 6010
1175 fr 6015
1176 fr 6017
1177 fr 6018
1178 fr 6020
1179 fr 6022
1180 fr 6029
1181 fr 6037
1182 fr 6041
1183 fr 6046
1184 fr 6051
1185 fr 6053
1186 fr 6069
1187 fr 6076
1188 fr 6093
1189 fr 6099
1190 fr 6100
1191 fr 6105
1192 fr 6106
1193 fr 6107
1194 fr 6108
1195 fr 6117
1196 fr 6119
1197 fr 6120
1198 fr 6123
1199 fr 6126
1200 fr 6130
1201 fr 6131
1202 fr 6135
1203 fr 6136
1204 fr 6138
1205 fr 6140
1206 fr 6143
1207 fr 6149
1208 fr 6151
1209 fr 6152
1210 fr 6154
1211 fr 6167
1212 fr 6168
1213 fr 6173
1214 fr 6175
1215 fr 6176
1216 fr 6177
1217 fr 6179
1218 fr 6183
1219 fr 6184
1220 fr 6187
1221 fr 6192
1222 fr 6203
1223 fr 6206
1224 fr 6211
1225 fr 6212
1226 fr 6220
1227 fr 6225
1228 fr 6227
